source,current_name,proposed_name,name_decision,name_rationale,module,kind,parameter,current_default,default_decision,default_rationale,migration_note
pyo3,py_bifactor_indices,py_bifactor_indices,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._bifactor_core,function,,,n/a,No defaulted parameters.,
pyo3,py_bifactor_indices_from_logit_slopes,py_bifactor_indices_from_logit_slopes,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._bifactor_core,function,,,n/a,No defaulted parameters.,
pyo3,py_bifactor_lord_wingersky,py_bifactor_lord_wingersky,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._bifactor_core,function,,,n/a,No defaulted parameters.,
pyo3,py_direct_enumeration_bifactor,py_direct_enumeration_bifactor,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._bifactor_core,function,,,n/a,No defaulted parameters.,
python,ability_standard_error,keep,keep,Already conforms to ADR-0028 naming convention.,fast_mlsirm._cat_administration_resource_safety,function,administered,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
python,ability_standard_error,keep,keep,Already conforms to ADR-0028 naming convention.,fast_mlsirm._cat_administration_resource_safety,function,model,'MLS2PLM',require,ADR-0028 rule 4: function is model-generic (not model-specific by name) -> model choice has no default.,"Deprecation: keep model='MLS2PLM' accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,adjusted_chi2_pairs,adjusted_chi2_pairs,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,adjusted_chi2_pairs,adjusted_chi2_pairs,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_xi,11,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_xi=11 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,adjusted_chi2_pairs,adjusted_chi2_pairs,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_points,256,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep xi_points=256 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,adjusted_chi2_pairs,adjusted_chi2_pairs,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_rule,"""gh""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,adjusted_chi2_pairs,adjusted_chi2_pairs,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_seed,0,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep xi_seed=0 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,analytic_see,analytic_see,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,ci_level,0.95,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,analytic_see,analytic_see,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,method,"""linear""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,andersen_lr_test,andersen_lr_test,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,max_iter,100,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep max_iter=100 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,andersen_lr_test,andersen_lr_test,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,tol,1e-8,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep tol=1e-8 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,assemble_test_form_greedy,assemble_test_form_greedy,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,content,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,assemble_test_form_greedy,assemble_test_form_greedy,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,exclude,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,assemble_test_form_greedy,assemble_test_form_greedy,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,max_per_content,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,assemble_test_form_greedy,assemble_test_form_greedy,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,min_per_content,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,bank_information,bank_information,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""auto""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,benjamini_hochberg,benjamini_hochberg,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,bhapkar_mh,bhapkar_mh,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,bootstrap_see,bootstrap_see,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,ci_level,0.95,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,bootstrap_see,bootstrap_see,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,method,"""equipercentile""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,bootstrap_see,bootstrap_see,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,n_boot,1000,require,ADR-0028 rule 1: replicate/bootstrap/draw count; no Monte-Carlo-error source cited -> required argument.,"Deprecation: keep n_boot=1000 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,bootstrap_see,bootstrap_see,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,seed,0,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep seed=0 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,bradley_terry_mm,bradley_terry_mm,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,alpha,0.0,require,ADR-0028 rule 2: decision threshold / flag cutoff / stopping rule; no APA 7th source cited for this specific value -> required argument.,"Deprecation: keep alpha=0.0 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,bradley_terry_mm,bradley_terry_mm,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,max_iter,10000,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep max_iter=10000 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,bradley_terry_mm,bradley_terry_mm,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,tol,1e-8,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep tol=1e-8 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,bratt_mm,bratt_mm,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,max_iter,10000,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep max_iter=10000 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,bratt_mm,bratt_mm,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,ref_index,0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,bratt_mm,bratt_mm,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,ref_value,1.0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,bratt_mm,bratt_mm,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,tol,1e-10,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep tol=1e-10 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,cat_ability_eap,cat_ability_eap,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""auto""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cat_ability_eap,cat_ability_eap,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,n_quad,41,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep n_quad=41 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,cat_ability_eap,cat_ability_eap,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,quad_range,6.0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cat_ability_mle,cat_ability_mle,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,bound,6.0,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cat_ability_mle,cat_ability_mle,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""auto""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cat_ability_mle,cat_ability_mle,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,max_iter,50,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep max_iter=50 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,cat_ability_mle,cat_ability_mle,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,start,None,keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cat_ability_mle,cat_ability_mle,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,tol,1e-6,require,ADR-0028 rule 1: iteration/convergence precision control; no documented convergence-criterion source -> required argument.,"Deprecation: keep tol=1e-6 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,cat_ability_standard_error,cat_ability_standard_error,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""auto""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cat_item_information,cat_item_information,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""auto""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cat_next_item,cat_next_item,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""auto""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cat_next_item,cat_next_item,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_theta,21,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_theta=21 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,cat_next_item,cat_next_item,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,q_xi,11,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep q_xi=11 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,cat_next_item,cat_next_item,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_points,256,require,ADR-0028 rule 1: numerical-precision (quadrature node count) control; no in-repo citation for this value and/or below the AGENTS.md #1929 floor of 121 -> required argument.,"Deprecation: keep xi_points=256 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,cat_next_item,cat_next_item,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_rule,"""gh""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,cat_next_item,cat_next_item,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,xi_seed,0,require,ADR-0028 rule 3: stochastic routines must not ship a default seed -> required argument.,"Deprecation: keep xi_seed=0 accepted only when explicitly passed for one minor release (DeprecationWarning), then remove; changelog Changed entry."
pyo3,cat_select_item,cat_select_item,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,device,"""auto""",keep,"Out of ADR-0028 policy scope (not a precision control, decision threshold, seed, or model-choice parameter).",
pyo3,chi2_sf,chi2_sf,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
pyo3,circle_arc_equate,circle_arc_equate,keep,"ADR-0028: PyO3 entry points are a private implementation detail, exempt from the public naming rules.",fast_mlsirm._core,function,,,n/a,No defaulted parameters.,
